first_name,last_name,birth_date,nationality,position,preferred_foot,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,salary,team_short_name
CJ,Egan-Riley,2003-07-01,ENG,CB,RIGHT,68,69,65,62,65,68,70,68,8400000,960000,OM
Ulisses,Garcia,1996-07-01,SUI,CB,RIGHT,69,69,66,63,66,69,71,69,11200000,1280000,OM
Angel,Gomes,2000-07-01,ENG,CM,RIGHT,70,70,72,64,72,70,52,70,14000000,1600000,OM
Amine,Gouiri,2000-07-01,ALG,CM,RIGHT,71,71,73,65,73,71,53,71,16800000,1920000,OM
Mason,Greenwood,2001-07-01,ENG,CM,RIGHT,72,72,74,66,74,72,54,72,19600000,2240000,OM
Hilan,Hamzaoui,2006-07-01,FRA,CB,RIGHT,73,77,70,67,70,73,75,73,22400000,2560000,OM
Pierre,Højbjerg,1995-07-01,DEN,CM,RIGHT,74,74,76,68,76,74,56,74,25200000,2880000,OM
Hamed,Junior Traorè,2000-07-01,CIV,CM,RIGHT,75,75,77,69,77,75,57,75,28000000,3200000,OM
Nouhoum,Kamissoko,2004-07-01,MLI,CM,RIGHT,68,70,70,62,70,68,50,68,8400000,960000,OM
Geoffrey,Kondogbia,1993-07-01,CTA,CB,RIGHT,69,69,66,63,66,69,71,69,11200000,1280000,OM
Emmanuel,Lago,2004-07-01,CIV,ST,RIGHT,70,72,72,73,67,70,52,70,14000000,1600000,OM
Ugo,Lamare,2007-07-01,FRA,ST,RIGHT,71,76,73,74,68,71,53,71,16800000,1920000,OM
Pol,Lirola,1997-07-01,ESP,CB,RIGHT,72,72,69,66,69,72,74,72,19600000,2240000,OM
Neal,Maupay,1996-07-01,FRA,CM,RIGHT,73,73,75,67,75,73,55,73,22400000,2560000,OM
Facundo,Medina,1999-07-01,ARG,CB,RIGHT,74,74,71,68,71,74,76,74,25200000,2880000,OM
Tadjidine,Mmadi,2007-07-01,FRA,ST,RIGHT,75,80,77,78,72,75,57,75,28000000,3200000,OM
Bilal,Nadir,2003-07-01,MAR,CM,RIGHT,68,69,70,62,70,68,50,68,8400000,960000,OM
Tochukwu,Nnadi,2003-07-01,NGA,CB,RIGHT,69,70,66,63,66,69,71,69,11200000,1280000,OM
Ethan,Nwaneri,2007-07-01,ENG,CM,RIGHT,70,75,72,64,72,70,52,70,14000000,1600000,OM
Matt,O'Riley,2000-07-01,DEN,CM,RIGHT,71,71,73,65,73,71,53,71,16800000,1920000,OM
Igor,Paixão,2000-07-01,BRA,CM,RIGHT,72,72,74,66,74,72,54,72,19600000,2240000,OM
Emerson,Palmieri,1994-07-01,ITA,CB,RIGHT,73,73,70,67,70,73,75,73,22400000,2560000,OM
Benjamin,Pavard,1996-07-01,FRA,CB,RIGHT,74,74,71,68,71,74,76,74,25200000,2880000,OM
Jonathan,Rowe,2003-07-01,ENG,ST,RIGHT,68,69,70,71,65,68,50,68,8400000,960000,OM
Gerónimo,Rulli,1992-07-01,ARG,GK,RIGHT,69,69,35,20,54,25,20,69,11200000,1280000,OM
Quinten,Timber,2001-07-01,NED,CM,RIGHT,70,70,72,64,72,70,52,70,14000000,1600000,OM
Robinio,Vaz,2007-07-01,FRA,ST,RIGHT,71,76,73,74,68,71,53,71,16800000,1920000,OM
Arthur,Vermeeren,2005-07-01,BEL,CM,RIGHT,72,75,74,66,74,72,54,72,19600000,2240000,OM
Timothy,Weah,2000-07-01,USA,CB,RIGHT,73,73,70,67,70,73,75,73,22400000,2560000,OM
Francesco,Acerbi,1988-07-01,ITA,CB,RIGHT,75,75,72,69,72,75,77,75,28000000,3200000,INT
Manuel,Akanji,1995-07-01,SUI,CB,RIGHT,76,76,73,70,73,76,78,76,30800000,3520000,INT
Carlos,Augusto,1999-07-01,BRA,CB,RIGHT,77,77,74,71,74,77,79,77,33600000,3840000,INT
Yann,Aurel Bisseck,2000-07-01,GER,CB,RIGHT,78,78,75,72,75,78,80,78,36400000,4160000,INT
Nicolò,Barella,1997-07-01,ITA,CM,RIGHT,79,79,81,73,81,79,61,79,39200000,4480000,INT
Alessandro,Bastoni,1999-07-01,ITA,CB,RIGHT,80,80,77,74,77,80,82,80,42000000,4800000,INT
Ange-Yoan,Bonny,2003-07-01,FRA,ST,RIGHT,81,82,83,84,78,81,63,81,44800000,5120000,INT
Hakan,Çalhanoğlu,1994-07-01,TUR,CM,RIGHT,82,82,84,76,84,82,64,82,47600000,5440000,INT
Matteo,Cocchi,2007-07-01,ITA,CB,RIGHT,75,80,72,69,72,75,77,75,28000000,3200000,INT
Matteo,Darmian,1989-07-01,ITA,CB,RIGHT,76,76,73,70,73,76,78,76,30800000,3520000,INT
Raffaele,Di Gennaro,1993-07-01,ITA,GK,RIGHT,77,77,35,20,62,25,20,77,33600000,3840000,INT
Federico,Dimarco,1997-07-01,ITA,CM,RIGHT,78,78,80,72,80,78,60,78,36400000,4160000,INT
Andy,Diouf,2003-07-01,FRA,CM,RIGHT,79,80,81,73,81,79,61,79,39200000,4480000,INT
Denzel,Dumfries,1996-07-01,NED,CM,RIGHT,80,80,82,74,82,80,62,80,42000000,4800000,INT
Francesco,Esposito,2005-07-01,ITA,ST,RIGHT,81,84,83,84,78,81,63,81,44800000,5120000,INT
Davide,Frattesi,1999-07-01,ITA,CM,RIGHT,82,82,84,76,84,82,64,82,47600000,5440000,INT
Luis,Henrique,2001-07-01,BRA,CM,RIGHT,75,75,77,69,77,75,57,75,28000000,3200000,INT
Matteo,Lavelli,2006-07-01,ITA,ST,RIGHT,76,80,78,79,73,76,58,76,30800000,3520000,INT
Josep,Martinez,1998-07-01,ESP,GK,RIGHT,77,77,35,20,62,25,20,77,33600000,3840000,INT
Lautaro,Martínez,1997-07-01,ARG,ST,RIGHT,78,78,80,81,75,78,60,78,36400000,4160000,INT
Henrikh,Mkhitaryan,1989-07-01,ARM,CM,RIGHT,79,79,81,73,81,79,61,79,39200000,4480000,INT
Mattia,Mosconi,2007-07-01,ITA,ST,RIGHT,80,85,82,83,77,80,62,80,42000000,4800000,INT
Yann,Sommer,1988-07-01,SUI,GK,RIGHT,82,82,35,20,67,25,20,82,47600000,5440000,INT
Petar,Sucic,2003-07-01,CRO,CM,RIGHT,75,76,77,69,77,75,57,75,28000000,3200000,INT
Marcus,Thuram,1997-07-01,FRA,ST,RIGHT,76,76,78,79,73,76,58,76,30800000,3520000,INT
Luka,Topalović,2006-07-01,SVN,CM,RIGHT,77,81,79,71,79,77,59,77,33600000,3840000,INT
Stefan,de Vrij,1992-07-01,NED,CB,RIGHT,78,78,75,72,75,78,80,78,36400000,4160000,INT
Piotr,Zieliński,1994-07-01,POL,CM,RIGHT,79,79,81,73,81,79,61,79,39200000,4480000,INT
Bradley,Barcola,2002-07-01,FRA,ST,RIGHT,78,78,80,81,75,78,60,78,36400000,4160000,PSG
Lucas,Beraldo,2003-07-01,BRA,CB,RIGHT,79,80,76,73,76,79,81,79,39200000,4480000,PSG
Lucas,Chevalier,2001-07-01,FRA,GK,RIGHT,80,80,35,20,65,25,20,80,42000000,4800000,PSG
Ousmane,Dembélé,1997-07-01,FRA,ST,RIGHT,81,81,83,84,78,81,63,81,44800000,5120000,PSG
Désiré,Doué,2005-07-01,FRA,CM,RIGHT,82,85,84,76,84,82,64,82,47600000,5440000,PSG
Dro,Fernández,2008-07-01,ESP,CM,RIGHT,83,89,85,77,85,83,65,83,50400000,5760000,PSG
Achraf,Hakimi,1998-07-01,MAR,CB,RIGHT,84,84,81,78,81,84,86,84,53200000,6080000,PSG
Lucas,Hernández,1996-07-01,FRA,CB,RIGHT,85,85,82,79,82,85,87,85,56000000,6400000,PSG
Mathis,Jangeal,2008-07-01,FRA,ST,RIGHT,78,84,80,81,75,78,60,78,36400000,4160000,PSG
Lee,Kang-in,2001-07-01,KOR,CM,RIGHT,79,79,81,73,81,79,61,79,39200000,4480000,PSG
Khvicha,Kvaratskhelia,2001-07-01,GEO,ST,RIGHT,80,80,82,83,77,80,62,80,42000000,4800000,PSG
Dimitri,Lucea,2007-07-01,FRA,CB,RIGHT,81,86,78,75,78,81,83,81,44800000,5120000,PSG
Renato,Marin,2006-07-01,ITA,GK,RIGHT,82,86,35,20,67,25,20,82,47600000,5440000,PSG
Marquinhos,-,1994-07-01,BRA,CB,RIGHT,83,83,80,77,80,83,85,83,50400000,5760000,PSG
Senny,Mayulu,2006-07-01,FRA,CM,RIGHT,84,88,86,78,86,84,66,84,53200000,6080000,PSG
Ibrahim,Mbaye,2008-07-01,SEN,CM,RIGHT,85,91,87,79,87,85,67,85,56000000,6400000,PSG
Nuno,Mendes,2002-07-01,POR,CB,RIGHT,78,78,75,72,75,78,80,78,36400000,4160000,PSG
Pierre,Mounguengue,2008-07-01,FRA,ST,RIGHT,79,85,81,82,76,79,61,79,39200000,4480000,PSG
Quentin,Ndjantou Mbitcha,2007-07-01,FRA,CM,RIGHT,80,85,82,74,82,80,62,80,42000000,4800000,PSG
João,Neves,2004-07-01,POR,CM,RIGHT,81,83,83,75,83,81,63,81,44800000,5120000,PSG
Noah,Nsoki,2007-07-01,FRA,CM,RIGHT,82,87,84,76,84,82,64,82,47600000,5440000,PSG
Willian,Pacho,2001-07-01,ECU,CB,RIGHT,83,83,80,77,80,83,85,83,50400000,5760000,PSG
Gonçalo,Ramos,2001-07-01,POR,ST,RIGHT,84,84,86,87,81,84,66,84,53200000,6080000,PSG
Fabián,Ruiz Peña,1996-07-01,ESP,CM,RIGHT,85,85,87,79,87,85,67,85,56000000,6400000,PSG
Matvei,Safonov,1999-07-01,RUS,GK,RIGHT,78,78,35,20,63,25,20,78,36400000,4160000,PSG
Vitinha,-,2000-07-01,POR,CM,RIGHT,79,79,81,73,81,79,61,79,39200000,4480000,PSG
Illia,Zabarnyi,2002-07-01,UKR,CB,RIGHT,80,80,77,74,77,80,82,80,42000000,4800000,PSG
Warren,Zaïre-Emery,2006-07-01,FRA,CB,RIGHT,81,85,78,75,78,81,83,81,44800000,5120000,PSG
